year,group,index,name,type,performers,note,
1983,,1,赵忠祥致开幕辞,致辞,赵忠祥,,
1983,,2,主持人介绍到场嘉宾,主持环节,,,
1983,,3,相声大师侯宝林讲话,讲话,侯宝林（已故，1993年2月）,,
1983,,4,主持人代表行业拜年,主持环节,,,
1983,,5,《拜年歌》,歌曲,李谷一,,
1983,,6,主持人介绍到场演员,主持环节,,,
1983,,7,猜谜（从上至下，广为团结）,互动环节,,,
1983,,8,《山村小景》,相声,马季（已故，2006年12月） 赵炎,,
1983,,9,《小小雷峰》,相声,马季（已故，2006年12月） 赵炎,,
1983,,9A,《说一不二》,相声,马季（已故，2006年12月） 赵炎,,
1983,,10,《每逢佳节倍思亲》,诗朗诵,林丽芳（中国台湾）,,
1983,,11,《夫妻双双把家还》,黄梅戏,索宝莉、牟玄甫,,
1983,,12,《竹林沙沙响》,歌曲,索宝莉、牟玄甫,,
1983,,13,《草原民歌》,歌伴舞,斯琴高娃 胡松华,,
1983,,14,《勤劳的比帕尔》,歌曲,胡松华,,
1983,,15,《马铃响，玉鸟唱》,歌曲,胡松华,,
1983,,16,《逛厂甸》,小品,斯琴高娃 严顺开,,
1983,,17,《节日》,舞蹈,赵青 徐川,,
1983,,18,猜谜（年终算总帐）,互动环节,,,
1983,,19,《吃鸡》,喜剧小品,王景愚 姜昆,,
1983,,20,京剧表演,京剧,尹宏伟,,
1983,,21,《坐寨盗马》,京剧,袁世海（已故，2002年12月）,,
1983,,22,《错走了这一步》,相声,姜昆 李文华（已故，2009年5月）,,
1983,,23,《对口词》,相声,姜昆 李文华（已故，2009年5月）,,
1983,,24,《战士之歌》,相声,姜昆 李文华（已故，2009年5月）,,
1983,,25,猜谜（制定人口政策）,互动环节,,,
1983,,26,彩扇争艳,魔术,姚金芬,,
1983,,27,杂技表演,杂技,上海杂技团,,
1983,,27A,相声（暂缺名称）,相声,侯耀文（已故，2007年6月） 石富宽,,
1983,,28,《空城计》,京剧,马长礼,,
1983,,29,《牧羊曲》,歌曲,郑绪岚,,
1983,,30,《大海啊，故乡》,歌曲,郑绪岚,,
1983,,31,《太阳岛上》,歌曲,郑绪岚,,
1983,,32,《霸王别姬》,京剧,李维康,,
1983,,33,《火烧圆明园》花絮,录像,,,
1983,,34,电影《垂帘听政》片段,录像,,,
1983,,35,《红花》,歌曲,刘晓庆,,
1983,,36,《盼红军》,歌曲,刘晓庆,,
1983,,37,《弹钢琴》,喜剧小品,严顺开,,
1983,,38,猜谜（镜子里面照着人）,互动环节,,,
1983,,39,《阿Q的独白》,喜剧小品,严顺开,,
1983,,40,《戏剧杂谈》,相声录像,侯宝林（已故，1993年2月） 郭全宝（已故，2004年7月）,,
1983,,41,猜谜（晚会）,互动环节,,,
1983,,42,歌曲联唱,歌曲,李谷一,,
1983,,43,《刘三姐》,歌曲对唱,李谷一 袁世海（已故，2002年12月） 姜昆,,
1983,,44,《牛皋招亲》,京剧对唱,李谷一 袁世海（已故，2002年12月）,,
1983,,45,电影《武林志》录像,录像,,,
1983,,46,武术表演,武术,葛春燕、郝志华、王杰、李霞、王建军、于绍文,,
1983,,47,《吉庆有余》,魔术,秦明晓,,
1983,,48,主持人慰问直播现场后台工作人员,主持环节,,,
1984,开场,1,片头：参加演出的演员介绍,片头,,,
1984,第一组,2,《恭贺新禧》,歌曲,蒋大为 李谷一 于淑珍 苏平 沈小岑 朱明瑛 茅善玉 郭颂,,
1984,第一组,3,《转盘子》,杂技,李春来,,
1984,第一组,4,《看谁贴得快》,游戏竞赛,幼儿园小朋友,,
1984,第一组,5,狗熊猴子投篮比赛,儿童节目,姜昆 李文华（已故，2009年5月）,,
1984,第一组,6,《宇宙牌香烟》,相声,马季（已故，2006年12月）,,
1984,第一组,7,《伞衣帽》,杂技,李春来,,
1984,第一组,8,《幸福在哪里》《党啊，亲爱的妈妈》,歌曲,殷秀梅,,
1984,第一组,9,《甜透了咱心窝》《串门》《山水醉了咱赫哲人》,歌曲,郭颂,,
1984,第一组,10,《请到天涯海角来》《妈妈教我一支歌》,歌曲,沈小岑,,
1984,第一组,11,《迎春曲》,河南豫剧,牛得草（已故，1998年6月）,,
1984,第一组,12,《淋浴》,哑剧小品,游本昌,,
1984,第一组,13,《故乡行》《南海渔歌》,粤剧,丁凡 林锦屏,,
1984,第二组,1,《定军山》,京剧,谭元寿,,
1984,第二组,2,《将相和》,京剧,方荣翔（已故，1989年4月）,,
1984,第二组,3,《吃面条》,小品,陈佩斯 朱时茂,,
1984,第二组,4,《女驸马》选段,黄梅戏,马兰,,
1984,第二组,5,《电视纠纷》,哑剧小品,王景愚 李辉,,
1984,第二组,6,《莫愁啊，莫愁》《大海啊故乡》《回娘家》,歌曲,朱明瑛,,
1984,第二组,7,《滦水香茶献亲人》《我们的生活充满阳光》《月光照着太湖水》《泉水叮咚响》,歌曲,于淑珍,,
1984,第三组,1,《花儿为什么这样红》《天女散花》《阿里山姑娘》《我的祖国》,歌曲,奚秀兰（香港）,,
1984,第三组,2,《赠羽扇》,评书,袁阔成,,
1984,第三组,3,乒乓球比赛,体育表演,李富荣 张燮林 宋世雄,,
1984,第三组,4,《无限欢颜喜在心》,越剧,王文娟,,
1984,第三组,5,金银猜,游戏,黄阿原 姜昆,,
1984,第三组,6,《春联》,相声,马季（已故，2006年12月） 赵炎,,
1984,第三组,7,零点钟声,倒计时,,,
1984,第三组,8,《辞旧迎新歌》,合唱,蒋大为 李谷一等8人,,
1984,第三组,9,"《萨拉族花儿""大眼睛""》《妹妹的山丹丹花儿开》",歌曲,苏平,,
1984,第三组,10,《燕燕做媒》《太湖美》,沪剧,茅善玉,,
1984,第四组,1,《我的中国心》《垅上行》《外婆的澎湖湾》《乡间的小路》,歌曲,张明敏（香港）,,
1984,第四组,2,气功表演,气功,侯伟 侯春雪 侯树英,,
1984,第四组,3,《友情》《默默地祝福你》《天黑黑》,歌曲,黄植诚 李大维 黄阿原,,
1984,第四组,4,《三笑》插曲,独唱,陈思思（已故，2007年10月 香港演员）,,
1984,第四组,5,《夸家乡》,相声,姜昆 李文华（已故，2009年5月）,,
1984,第四组,6,《要问我们想什么》《战士与梅花》《在那桃花盛开的地方》,歌曲,蒋大为,,
1984,第四组,7,《跳吧，年轻的伙伴》《那就是我》《迎宾曲》,歌曲,李谷一,,
1984,第四组,8,《刘海砍樵》,花鼓戏,李谷一 姜昆,,
1984,第四组,9,《难忘今宵》,主题歌曲,李谷一,,
1985,第一组,1,《百猴迎春》,京剧,中国京剧院,,
1985,第一组,2,《编钟乐曲》,器乐演奏,湖北省歌舞团,,
1985,第一组,3,《南乡子》,歌曲,李元华,,
1985,第一组,4,《万里长城永不倒》,歌曲,吕念祖,,
1985,第一组,5,中国女排队员拜年,拜年环节,,,
1985,第一组,6,《共享快乐年》《在我生命里》《中国梦》,歌曲,罗文（已故，2002年10月）（香港）,,
1985,第一组,7,中奖节目,互动环节,黄阿原,,
1985,第一组,8,《赤子之心》,歌曲,周烽,,
1985,第一组,9,《新春我们干一杯》《祖国慈祥的母亲》,歌曲,张建一,,
1985,第二组,1,《花市》《花城之春》,粤剧,红线女,,
1985,第二组,2,《悠绳》,高空杂技,王景愚 张小卉,,
1985,第二组,3,《大乐、特乐》,相声,马三立（已故，2003年2月）,,
1985,第二组,4,《五女拜寿》,越剧,何赛飞 茅威涛,,
1985,第二组,5,《一杯美酒》《我的歌会飞到你的身边》,歌曲,迪里拜尔（维族）,,
1985,第二组,6,《龙的传人》,歌曲,黄锦波（美国加州喜瑞都市市长）,,
1985,第二组,7,中奖节目——投篮球,互动环节,黄阿原,,
1985,第三组,1,《谁知我心》,歌曲,吕念祖 李志秀,,
1985,第三组,2,《拍电影》,喜剧小品,陈佩斯 朱时茂,,
1985,第三组,3,《小草》《欢腾的小路》,歌曲,房新华,,
1985,第三组,4,零点钟声,倒计时,,,
1985,第三组,5,恭贺新年,录像,,,
1985,第三组,6,《老牛接班》,豫剧,虎美玲 小香玉 王全真,,
1985,第三组,7,《长袖舞》,舞蹈,湖北省歌舞团,,
1985,第三组,8,《十五的月亮》《生命之花》,歌曲,柳培德 董文华,,
1985,第四组,1,二指拉石、手指钻砖,硬气功,李登来（武警总队）,,
1985,第四组,2,《故乡情》,歌曲,奚秀兰（香港）,,
1985,第四组,3,《登上高峰》,歌曲,张明敏（香港）,,
1985,第四组,4,武术表演,武术,郝勇 张小燕 赵长军 王建军 王群 李燕龙 邱建国,,
1985,第四组,5,《长城脚下一朵小花》《年景》,歌曲,董岱,,
1985,第四组,6,《看电视》,相声,姜昆 李金宝,,
1985,第四组,7,《打渔杀家》,京剧,孙岳 王馥荔,,
